url,path,local_file,kind,status,market
https://bertlclaw.at/landingpage-baden-ch-hr-berater.html,/landingpage-baden-ch-hr-berater.html,landingpage-baden-ch-hr-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-baden-ch-it-berater.html,/landingpage-baden-ch-it-berater.html,landingpage-baden-ch-it-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-baden-ch-ki-berater.html,/landingpage-baden-ch-ki-berater.html,landingpage-baden-ch-ki-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-baden-ch-seo-berater.html,/landingpage-baden-ch-seo-berater.html,landingpage-baden-ch-seo-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-baden-wien-berater.html,/landingpage-baden-wien-berater.html,landingpage-baden-wien-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-baden-wien-it-berater.html,/landingpage-baden-wien-it-berater.html,landingpage-baden-wien-it-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-baden-wien-unternehmensberater.html,/landingpage-baden-wien-unternehmensberater.html,landingpage-baden-wien-unternehmensberater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-bamberg-berater.html,/landingpage-bamberg-berater.html,landingpage-bamberg-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-bamberg-it-berater.html,/landingpage-bamberg-it-berater.html,landingpage-bamberg-it-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-basel-hr-berater.html,/landingpage-basel-hr-berater.html,landingpage-basel-hr-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-basel-it-berater.html,/landingpage-basel-it-berater.html,landingpage-basel-it-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-basel-ki-berater.html,/landingpage-basel-ki-berater.html,landingpage-basel-ki-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-basel-seo-berater.html,/landingpage-basel-seo-berater.html,landingpage-basel-seo-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-bayreuth-berater.html,/landingpage-bayreuth-berater.html,landingpage-bayreuth-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-bayreuth-it-berater.html,/landingpage-bayreuth-it-berater.html,landingpage-bayreuth-it-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-bergisch-gladbach-berater.html,/landingpage-bergisch-gladbach-berater.html,landingpage-bergisch-gladbach-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-bergisch-gladbach-hr-berater.html,/landingpage-bergisch-gladbach-hr-berater.html,landingpage-bergisch-gladbach-hr-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-bergisch-gladbach-it-berater.html,/landingpage-bergisch-gladbach-it-berater.html,landingpage-bergisch-gladbach-it-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-bergisch-gladbach-ki-berater.html,/landingpage-bergisch-gladbach-ki-berater.html,landingpage-bergisch-gladbach-ki-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-bergisch-gladbach-projektmanager.html,/landingpage-bergisch-gladbach-projektmanager.html,landingpage-bergisch-gladbach-projektmanager.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-bergisch-gladbach-unternehmensberater.html,/landingpage-bergisch-gladbach-unternehmensberater.html,landingpage-bergisch-gladbach-unternehmensberater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-berlin-berater.html,/landingpage-berlin-berater.html,landingpage-berlin-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-berlin-hr-berater.html,/landingpage-berlin-hr-berater.html,landingpage-berlin-hr-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-berlin-it-berater.html,/landingpage-berlin-it-berater.html,landingpage-berlin-it-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-berlin-ki-berater.html,/landingpage-berlin-ki-berater.html,landingpage-berlin-ki-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-berlin-projektmanager.html,/landingpage-berlin-projektmanager.html,landingpage-berlin-projektmanager.html,cluster_or_other,missing_local,DE_or_other
